time,unique_id,collection_id,instance_index,priority,scheduling_class,machine_id,alloc_collection_id,alloc_instance_index,collection_type,avg_cpu_usage,avg_memory_usage,max_cpu_usage,max_memory_usage,random_sample_cpu_usage,assigned_memory,sample_rate,p0_cpu_usage,p10_cpu_usage,p20_cpu_usage,p30_cpu_usage,p40_cpu_usage,p50_cpu_usage,p60_cpu_usage,p70_cpu_usage,p80_cpu_usage,p90_cpu_usage,p91_cpu_usage,p92_cpu_usage,p93_cpu_usage,p94_cpu_usage,p95_cpu_usage,p96_cpu_usage,p97_cpu_usage,p98_cpu_usage,p99_cpu_usage,memory_limit,cpu_limit,abstract_usage,abstract_limit
300000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.022735595703125003,0.007530212402343001,0.06060791015625,0.007583618164062,0.02386474609375,0.008468627929687,0.996666669845581,0.016693115234375,0.019866943359375,0.02081298828125,0.021484375,0.022186279296875,0.022613525390625003,0.023162841796875003,0.0238037109375,0.02484130859375,0.026031494140625003,0.0262451171875,0.0263671875,0.0264892578125,0.026611328125,0.026824951171875003,0.027130126953125003,0.02740478515625,0.027679443359375003,0.028106689453125003,0.008041381835937,0.03643798828125,0.0,0.0
600000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.023040771484375003,0.007598876953125001,0.1129150390625,0.007644653320312,0.022247314453125,0.008468627929687,0.9933333396911621,0.016937255859375,0.02008056640625,0.020904541015625,0.021636962890625,0.02239990234375,0.022857666015625003,0.0234375,0.024078369140625003,0.024932861328125003,0.0260009765625,0.026153564453125003,0.026275634765625003,0.02642822265625,0.02655029296875,0.0267333984375,0.0269775390625,0.027801513671875003,0.028900146484375003,0.0301513671875,0.008041381835937,0.03643798828125,0.0,0.0
900000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.0216064453125,0.007392883300781,0.0760498046875,0.007667541503906,0.020294189453125,0.008468627929687,0.9933333396911621,0.015060424804687,0.0184326171875,0.01947021484375,0.02001953125,0.020721435546875,0.021484375,0.022247314453125,0.023162841796875003,0.024200439453125003,0.025634765625,0.02593994140625,0.0262451171875,0.026458740234375003,0.026641845703125003,0.027435302734375003,0.028045654296875003,0.028961181640625003,0.030029296875,0.0323486328125,0.008041381835937,0.03643798828125,0.0,0.0
1200000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.023529052734375003,0.007431030273437,0.1875,0.007469177246093001,0.022705078125,0.008468627929687,0.996666669845581,0.017791748046875,0.020294189453125,0.021240234375,0.02191162109375,0.0224609375,0.022979736328125003,0.02386474609375,0.02435302734375,0.025146484375,0.026580810546875003,0.0267333984375,0.026947021484375003,0.02716064453125,0.027435302734375003,0.027679443359375003,0.027923583984375003,0.0281982421875,0.02911376953125,0.030517578125,0.008041381835937,0.03643798828125,0.0,0.0
1500000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.022705078125,0.007492065429687,0.04827880859375,0.007522583007812,0.019866943359375,0.008468627929687,1.0,0.01702880859375,0.0198974609375,0.020904541015625,0.021484375,0.0220947265625,0.02252197265625,0.0230712890625,0.0235595703125,0.024444580078125003,0.02557373046875,0.025726318359375003,0.02587890625,0.0260009765625,0.026153564453125003,0.026458740234375003,0.0269775390625,0.027435302734375003,0.027740478515625003,0.02813720703125,0.008041381835937,0.03643798828125,0.0,0.0
1800000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.02386474609375,0.007530212402343001,0.0667724609375,0.007583618164062,0.023040771484375003,0.008468627929687,1.0,0.01910400390625,0.020965576171875,0.02178955078125,0.022491455078125003,0.022979736328125003,0.023651123046875003,0.024322509765625003,0.025054931640625003,0.02581787109375,0.026885986328125003,0.02703857421875,0.02716064453125,0.027496337890625003,0.02789306640625,0.028289794921875003,0.028808593749999997,0.029144287109375003,0.02996826171875,0.03070068359375,0.008041381835937,0.03643798828125,0.0,0.0
2100000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.024169921875,0.007400512695312,0.054931640625,0.007598876953125001,0.02813720703125,0.008468627929687,1.0,0.01837158203125,0.020782470703125,0.021636962890625,0.02239990234375,0.023040771484375003,0.023681640625,0.0242919921875,0.025115966796875003,0.026092529296875003,0.02838134765625,0.028717041015625003,0.029205322265625003,0.02960205078125,0.02996826171875,0.0303955078125,0.030914306640625003,0.031494140625,0.0335693359375,0.03765869140625,0.008041381835937,0.03643798828125,0.0,0.0
2400000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.0242919921875,0.007461547851562,0.045166015625,0.007530212402343001,0.0255126953125,0.008468627929687,1.0,0.01806640625,0.020721435546875,0.0218505859375,0.022796630859375003,0.0235595703125,0.024261474609375003,0.024871826171875003,0.025482177734375003,0.0263671875,0.027679443359375003,0.02801513671875,0.02838134765625,0.02862548828125,0.028900146484375003,0.0291748046875,0.029571533203125003,0.03009033203125,0.030548095703125003,0.03173828125,0.008041381835937,0.03643798828125,0.0,0.0
2700000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.02496337890625,0.007492065429687,0.1484375,0.007530212402343001,0.026641845703125003,0.008468627929687,0.9866666793823241,0.0194091796875,0.021636962890625,0.022705078125,0.02362060546875,0.024322509765625003,0.024871826171875003,0.02557373046875,0.026275634765625003,0.027069091796875003,0.028228759765625003,0.028411865234375003,0.028564453125,0.02874755859375,0.029144287109375003,0.029541015625,0.029815673828125003,0.030548095703125003,0.0308837890625,0.03179931640625,0.008041381835937,0.03643798828125,0.0,0.0
3000000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.02423095703125,0.007553100585937,0.04571533203125,0.007614135742187,0.026763916015625003,0.008468627929687,1.0,0.018280029296875,0.021026611328125,0.021881103515625,0.022491455078125003,0.023468017578125003,0.024078369140625003,0.024688720703125003,0.025360107421875003,0.026336669921875003,0.0277099609375,0.0279541015625,0.0281982421875,0.028411865234375003,0.02862548828125,0.028808593749999997,0.029083251953125003,0.029449462890625003,0.030548095703125003,0.03204345703125,0.008041381835937,0.03643798828125,0.0,0.0
3300000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.02392578125,0.007514953613281,0.16943359375,0.007637023925781,0.02392578125,0.008468627929687,0.9933333396911621,0.01715087890625,0.020538330078125,0.021575927734375,0.02227783203125,0.022918701171875003,0.02362060546875,0.024200439453125003,0.0250244140625,0.0260009765625,0.02728271484375,0.0274658203125,0.02764892578125,0.027984619140625003,0.0284423828125,0.02923583984375,0.030029296875,0.030609130859375003,0.0321044921875,0.034912109375,0.008041381835937,0.03643798828125,0.0,0.0
3600000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.0250244140625,0.007415771484375001,0.0477294921875,0.007461547851562,0.024871826171875003,0.008468627929687,1.0,0.0174560546875,0.021820068359375,0.022674560546875003,0.02337646484375,0.024200439453125003,0.02496337890625,0.025543212890625003,0.026275634765625003,0.0272216796875,0.028778076171875003,0.029022216796875003,0.02923583984375,0.029449462890625003,0.0296630859375,0.029876708984375003,0.03021240234375,0.03070068359375,0.0313720703125,0.03326416015625,0.008041381835937,0.03643798828125,0.0,0.0
3900000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.023681640625,0.007469177246093001,0.05084228515625,0.00750732421875,0.023681640625,0.008468627929687,1.0,0.018341064453125,0.020843505859375,0.02154541015625,0.022186279296875,0.02276611328125,0.02337646484375,0.0240478515625,0.0250244140625,0.02587890625,0.026763916015625003,0.027008056640625003,0.027252197265625003,0.027618408203125003,0.02789306640625,0.02813720703125,0.028411865234375003,0.028808593749999997,0.029937744140625003,0.030517578125,0.008041381835937,0.03643798828125,0.0,0.0
4200000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.024871826171875003,0.007522583007812,0.05645751953125,0.007568359375,0.02301025390625,0.008468627929687,1.0,0.01934814453125,0.021820068359375,0.022857666015625003,0.0235595703125,0.02410888671875,0.024658203125,0.0255126953125,0.026092529296875003,0.02679443359375,0.02777099609375,0.027984619140625003,0.028167724609375003,0.02838134765625,0.028656005859375003,0.02899169921875,0.029388427734375003,0.0296630859375,0.02996826171875,0.030517578125,0.008041381835937,0.03643798828125,0.0,0.0
4500000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.025421142578125003,0.007591247558593001,0.0821533203125,0.00762939453125,0.027008056640625003,0.008468627929687,1.0,0.01751708984375,0.022186279296875,0.0234375,0.024169921875,0.024871826171875003,0.025390625,0.026031494140625003,0.026580810546875003,0.02740478515625,0.028289794921875003,0.028564453125,0.028808593749999997,0.02911376953125,0.029388427734375003,0.0296630859375,0.029998779296875003,0.0306396484375,0.030975341796875003,0.031494140625,0.008041381835937,0.03643798828125,0.0,0.0
4800000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.02520751953125,0.007667541503906,0.1119384765625,0.007705688476562,0.0252685546875,0.008468627929687,0.996666669845581,0.019866943359375,0.0224609375,0.023345947265625003,0.02392578125,0.024505615234375003,0.024993896484375003,0.025634765625,0.026275634765625003,0.0269775390625,0.027984619140625003,0.028106689453125003,0.0281982421875,0.0283203125,0.02862548828125,0.02886962890625,0.029052734375,0.029205322265625003,0.02947998046875,0.030548095703125003,0.008041381835937,0.03643798828125,0.0,0.0
5100000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.024932861328125003,0.0076904296875,0.0882568359375,0.008148193359375,0.024932861328125003,0.008468627929687,0.996666669845581,0.0185546875,0.021697998046875,0.022430419921875003,0.023193359375,0.024017333984375003,0.024749755859375003,0.025421142578125003,0.02618408203125,0.027008056640625003,0.02838134765625,0.028533935546875003,0.0286865234375,0.028839111328125003,0.02911376953125,0.0294189453125,0.03009033203125,0.03118896484375,0.03204345703125,0.03326416015625,0.008041381835937,0.03643798828125,0.0,0.0
5400000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.025482177734375003,0.007408142089843001,0.04620361328125,0.007453918457031,0.024078369140625003,0.008468627929687,1.0,0.020050048828125,0.0224609375,0.023284912109375003,0.02398681640625,0.024658203125,0.025299072265625003,0.02587890625,0.026580810546875003,0.027435302734375003,0.028472900390625003,0.02862548828125,0.028808593749999997,0.02911376953125,0.029388427734375003,0.02972412109375,0.0301513671875,0.030731201171875003,0.03131103515625,0.032958984375,0.008041381835937,0.03643798828125,0.0,0.0
5700000000,113812204462-85,113812204462,85,200,3,20736943,0,-1,0,0.02557373046875,0.007476806640625001,0.05340576171875,0.00750732421875,0.025665283203125003,0.008468627929687,1.0,0.018035888671875,0.022613525390625003,0.02362060546875,0.024383544921875003,0.024993896484375003,0.0255126953125,0.026123046875,0.02679443359375,0.027618408203125003,0.028656005859375003,0.028808593749999997,0.028961181640625003,0.02911376953125,0.029266357421875003,0.02947998046875,0.029754638671875003,0.030059814453125003,0.03033447265625,0.03070068359375,0.008041381835937,0.03643798828125,0.0,0.0
